1,1,1,35635.7,180756,10
2,1,2,47658.49,161415.93,10
3,1,3,10650,44000,10
4,1,4,10359536.07,36642857.14,10
6,1,5,10650,11473.8,3
7,1,6,1,3,3
8,1,7,45612.49,66030.9,3
10,1,8,2,2,3
11,1,9,451,714,3
13,1,10,2,2,3
14,1,11,2382.27,10058.59,3
15,1,12,8,10,4
16,1,13,100,100,3
127,1,14,5,6,6
17,1,15,8,10,4
18,1,15,3,3,4
19,1,16,1,1,4
20,1,16,3,3,4
21,1,17,3,3,6
24,1,18,1,1,4
1,2,19,486.5,7762,10
2,2,20,741.56,6938,10
3,2,21,487,10780,10
4,2,22,83055,1575000,10
6,2,23,487,772.2,3
7,2,24,1,3,3
8,2,25,741,15446,3
10,2,26,2,2,3
11,2,27,487,122,3
13,2,28,0,2,3
14,2,29,39.6,432.4,3
15,2,30,10,10,4
16,2,31,100,100,3
127,2,32,3,3,6
17,2,33,10,10,6
18,2,33,3,3,4
19,2,34,1,1,4
20,2,34,3,3,4
21,2,35,3,3,4
24,2,36,1,1,4
