1,6
2,6
4,6
5,6
6,7
7,7
8,7
10,7
11,7
12,7
13,8
14,9
15,10
156,10
16,11
17,11
18,10
20,14
1,20
2,20
4,20
5,20
6,21
7,21
8,21
10,21
11,21
12,21
13,22
14,23
15,24
156,24
16,25
17,25
18,24
20,28
157,34
158,35
159,36
160,36
161,36
162,36
163,36
16,37
17,37
18,38
164,38
24,38
19,39
165,45
166,45
167,45
168,45
169,45
170,45
171,45
172,46
173,46
174,46
175,46
14,47
15,48
156,48
16,49
17,49
18,48
24,50
20,51
165,57
166,57
167,57
168,57
169,57
170,57
171,57
172,58
173,58
174,58
175,58
14,59
15,60
156,60
16,61
17,61
18,61
24,62
20,63
1,69
2,69
4,69
5,69
6,70
7,70
8,70
9,70
10,70
11,70
12,70
13,71
14,72
15,73
156,73
16,75
17,75
18,73
20,77
